Job Name,Location,Salary,Qualifications
AI/ML,"Lemont, IL","$74,799.00 - $118,785.42 a year",Microsoft Powerpoint; Statistics; Doctoral degree; R; Data analysis skills; Mid-level; Master's degree; Statistical analysis; Bachelor's degree; Machine learning; Doctor of Philosophy; JavaScript; Supervised learning; Natural language processing; AI; Communication skills; Python; Generative AI; Under 1 year; Data Science
AI/ML,"Mettawa, IL",Estimated: $152K - $180K a year,Doctoral degree; Business analysis; Master's degree; Analysis skills; Project management; Bachelor's degree; Machine learning; Doctor of Philosophy; Agile; IT; Budgeting; Marketing operations; Senior level; AI; Financial acumen; 2 years; Communication skills; Marketing; Negotiation; Strategic planning
AI/ML,United States,$90.00 - $101.65 an hour,Bachelor of Science; Prompt engineering; Bachelor's degree; Product development; Natural language processing; Senior level; AI; 10 years
AI/ML,Remote,"$150,000 - $300,000 a year",Management; Cloud architecture; IT management; IT people management experience; AWS; Technology management; Natural language processing; Senior level; AI; Senior leadership; 10 years
AI/ML,Remote,Estimated: $32.7K - $61.4K a year,AI models; AI chatbots; Scikit-learn; TensorFlow; Reinforcement learning; PyTorch; Computer vision; Software deployment; R; Google Cloud Platform; Mid-level; Java; AWS; Analysis skills; Machine learning; Model deployment; Natural language processing; A/B testing; AI; Machine learning frameworks; 2 years; Python; MLOps
AI/ML,"Jersey City, NJ","$142,500 - $210,000 a year",AI models; Computer science; Law; Doctoral degree; Applied Mathematics; Data governance; Master's degree; 8 years; Project management; Doctor of Philosophy; Product management; Contracts; Financial services; Data science; Senior level; AI; Leadership; Communication skills; Data Science
AI/ML,Remote,$124 an hour,Live chat; 9 years; Senior level; AI; Figma; Communication skills; Mobile design
AI/ML,"Seattle, WA",Estimated: $97.2K - $132K a year,Agile product development; Azure; PCI; Kanban; Writing skills; SOX; Product development; Scrum; Organizational skills; ServiceNow; Agile; 1 year; Business requirements; Senior level; AI; Requirements gathering; Communication skills; Time management
AI/ML,"Phoenix, AZ",From $40 an hour,Bilingual; Biology; Doctoral degree; Mid-level; Master's degree; Doctor of Philosophy; AI
AI/ML,United States,"$102,500 - $188,900 a year",Microsoft Powerpoint; Business intelligence; Data structures; Data governance; Analysis skills; Project management; Presentation skills; Bachelor's degree; Data science; Senior level; AI; 4 years; Leadership
AI/ML,"New York, NY","$161,600 - $314,400 a year",Computer science; Reinforcement learning; Law; Doctoral degree; 5 years; Research; Algorithms; Machine learning; Algorithm design; Research data collection; Senior level; AI
AI/ML,"New York, NY",Estimated: $120K - $183K a year,French; 7 years; Management; English; Master's degree; Social Sciences; Bachelor's degree; Senior level; AI; Gender issues counseling
AI/ML,Remote,Estimated: $34.2K - $61.2K a year,No experience needed; English; Research; Mid-level; Russian; Proofreading; AI; Grammar Experience; Editing; Under 1 year
AI/ML,"Gilbert, AZ",$35 - $45 an hour,Mid-level; Bachelor's degree; Machine learning; AI; Time management
AI/ML,"Westborough, MA",Estimated: $130K - $221K a year,Computer science; Kotlin; Data mining; Doctoral degree; Computer Science; Software troubleshooting; Mid-level; Java; Master's degree; OOP; C++; C; Bachelor's degree; Machine learning; Data management; Doctor of Philosophy; Model deployment; Natural language processing; Software development; AI; 2 years; Python; SDLC; Design patterns
AI/ML,"Los Angeles, CA","$200,000 - $250,000 a year",Bachelor of Science; R; Mathematics; Mid-level; SQL; Bachelor's degree; Data analytics; Predictive analytics; Data science; AI; Leadership; Python; Analytics
AI/ML,United States,Estimated: $18.8K - $103K a year,Transcription; Computer skills; AI; Entry level; Under 1 year
AI/ML,"Palo Alto, CA","$120,000 - $360,000 a year",Software deployment; Data analysis skills; Mid-level; C++; Machine learning; Deep learning; AI; Communication skills; Python
AI/ML,United States,Estimated: $40.3K - $85.2K a year,Hospitality; Oracle; CSS; Kubernetes; Data structures; C#; Java; SQL; OOP; Docker; Bachelor's degree; Machine learning; JavaScript; Computer Engineering; AI; Python; Entry level; HTML
AI/ML,"Wilmington, DE",$68 an hour,Jira; CRM software; Spring Boot; CI/CD; Cloud architecture; PCI; Text-to-speech; Salesforce; DevOps; AWS Certification; NoSQL; Git; Java; Databases; SQL; Transcription; AWS; Analysis skills; IVR; PostgreSQL; Network protocols; Terraform; SDKs; Computer networking; APIs; ServiceNow; Agile; S3; DynamoDB; Senior level; AI; 2 years; Jenkins; Communication skills; Spring; Active Directory; Identity & access management
AI/ML,"Redmond, WA",$70.67 an hour,Computer science; Doctoral degree; Computer Science; Signal processing; PyTorch; Computer vision; R; Research; C++; Bachelor's degree; Machine learning; Doctor of Philosophy; Deep learning; Computer Engineering; OpenCV; Software development; Unity; Senior level; AI; Machine learning frameworks; 2 years; Python
AI/ML,Remote,$50 - $55 an hour,Vulnerability assessment; Law; 11+ years; Mid-level; Security; 9 years; AI; 10 years
AI/ML,"Palo Alto, CA","$235,000 - $414,000 a year",TensorFlow; Computer science; Management; PyTorch; Computer vision; Math; Bachelor's degree; Machine learning; Deep learning; Mentoring; Senior level; AI; Leadership; 2 years; Generative AI
AI/ML,"Stanford, CA","$86,180 - $129,259 a year",Full-stack development; Mid-level; 3 years; Bachelor's degree; AI
AI/ML,Remote,$60 - $80 an hour,Google Docs; Mid-level; AI; Leadership; 2 years; Communication skills; Teaching
AI/ML,Remote,$35 - $40 an hour,TensorFlow; Management; PyTorch; Text-to-speech; Computer vision; Mid-level; Master's degree; Jupyter; Supervising experience; Machine learning; Doctor of Philosophy; Mentoring; Natural language processing; GitHub; Keras; AI; Leadership; Communication skills; Python; Teaching
AI/ML,"Boston, MA","$160,000 - $280,000 a year",PyTorch; 5 years; Machine learning; Senior level
AI/ML,"Brisbane, CA",Estimated: $88.1K - $119K a year,Law; Computer Science; Kubernetes; Prompt engineering; Databases; SQL; AWS; Docker; Bachelor's degree; Machine learning; Deep learning; Natural language processing; Django; Software development; APIs; Flask; AI; Communication skills; Python; Entry level; Generative AI; Debugging; Under 1 year
AI/ML,"Bloomfield, IN",$15 an hour,Driver's License; Class D; AI; Entry level
AI/ML,Remote,From $62 an hour,Photography; Acting; Content creation; AI; Communication skills; Entry level; Under 1 year
AI/ML,California,"$150,000 - $300,000 a year",Growing experience; Data structures; Mid-level; Algorithms; Machine learning; Natural language processing; AI; 4 years
AI/ML,Remote,"$190,000 - $225,000 a year",IT sourcing; Military; Public speaking; Data analytics; IT; Cybersecurity; Senior level; AI; Communication skills; Negotiation
AI/ML,"Denver, CO","$136,000 - $160,000 a year",Cloud infrastructure; Go; Kubernetes; Relational databases; Configuration management; NoSQL; Java; Databases; PHP; AWS; Debian; Bachelor's degree; Terraform; New Relic; Perl; Scripting; SSH; Linux; Kafka; Senior level; 2 years; Python
AI/ML,"San Francisco, CA","$200,000 - $400,000 a year",Product management; Senior level; SaaS; AI; Leadership; 10 years
AI/ML,"New York, NY",From $40 an hour,Writing skills; C#; English; Mid-level; SQL; C++; Bachelor's degree; JavaScript; Swift; AI; Grammar Experience; Python; HTML
AI/ML,Remote,From $40 an hour,Bilingual; Biology; Doctoral degree; Mid-level; Master's degree; Doctor of Philosophy; AI
AI/ML,"San Francisco, CA","$165,750 - $246,675 a year",TensorFlow; Power BI; 7 years; Data modeling; Azure; 6 years; Doctoral degree; Computer Science; Hypothesis testing; PyTorch; Computer vision; Big data; Spark; NumPy; R; NoSQL; 11+ years; Google Cloud Platform; Tableau; Data governance; Java; Master's degree; Databases; 8 years; SQL; Pandas; Programming languages; Statistical analysis; AWS; Analysis skills; Bachelor's degree; Machine learning; Doctor of Philosophy; Deep learning; Matplotlib; Natural language processing; Data analytics; ETL; Regression analysis; Data science; Keras; 9 years; Senior level; AI; 2 years; Communication skills; KPI dashboards; Data manipulation; Python; Data Science; Hadoop; 10 years
AI/ML,"Foster City, CA","$210,000 - $264,000 a year",CI/CD; Kotlin; 7 years; Computer Science; Software troubleshooting; Bachelor of Science; Git; Java; Master's degree; C++; Bachelor's degree; Distributed systems; Product management; UX; Software development; Linux; Senior level; Robotics; Python
AI/ML,"New York, NY","$129,300 - $223,600 a year",Computer science; Law; Computer Science; Mid-level; 3 years; Bachelor's degree; Machine learning; AI; Generative AI; SDLC; Design patterns
AI/ML,"Athens, OH",Estimated: $72.9K - $92.5K a year,7 years; Research; Master's degree; Senior level; AI; Teaching; Master of Fine Arts
AI/ML,"New York, NY",Estimated: $87.7K - $147K a year,French; Investment; Investment management; Microsoft Excel; Management; English; High school diploma or GED; Analysis skills; Bachelor's degree; Accounting; Custodial experience; Budgeting; Senior level; AI; 10 years
AI/ML,"Boston, MA",Estimated: $55.2K - $73.7K a year,Statistics; Applied Mathematics; Wearables; EKG; Physiology knowledge; Bachelor's degree; Machine learning; Software development; Data science; 1 year; AI; Sensors; Python; Entry level; Data Science
AI/ML,"San Francisco, CA","$68,900 - $147,400 a year",Public Relations; 5 years; Writing skills; Bachelor's degree; Public relations; Senior level; AI; Communication skills
AI/ML,"Rose Hill, NC",$13.90 an hour,Customer service; Environmental law; High school diploma or GED; Driver's License; Organizational skills; AI; Communication skills; Entry level
AI/ML,"Foster City, CA","$141,000 - $229,000 a year",CAD; 5 years; Program development; Bachelor of Science; Mechanical Engineering; System architecture; System design; Master's degree; Electrical experience; Electrical systems; Bachelor's degree; Machine learning; Doctor of Philosophy; Distributed systems; Distributed computing; OEM; Senior level; AI; CATIA; Product lifecycle management
AI/ML,"Los Angeles, CA","$180,000 - $210,000 a year",Writing skills; Product development; Content strategy; Senior level; AI; Information architecture; 10 years
AI/ML,Remote,Estimated: $93.5K - $135K a year,CI/CD; Cloud infrastructure; Go; Software troubleshooting; Kubernetes; Ansible; Kanban; 5 years; Software deployment; DevOps; AWS Certification; Microsoft SQL Server; Windows; Bash; AWS; Docker; Terraform; GitHub; Senior level; Python; PowerShell; Shell Scripting
AI/ML,"Minneapolis, MN",Estimated: $46.4K - $60.8K a year,PyTorch; Software deployment; Bachelor of Science; Data analysis skills; Mid-level; Bachelor's degree; Machine learning; Physics; Data science; AI
AI/ML,"Bellevue, WA","$230,000 - $300,000 a year",Computer science; Doctoral degree; PyTorch; Pandas; Machine learning; Doctor of Philosophy; Feature extraction; Data science; Machine learning libraries; Senior level; AI; Communication skills; Python
AI/ML,"Westford, MA","$108,900 - $166,980 a year",Computer science; Pricing; Management; EDI; Computer Science; SAP CRM; Sales; SAP; 11+ years; Master's degree; Analysis skills; Bachelor's degree; Data management; SAP S/4HANA; APIs; Agile; IT; Business Administration; Root cause analysis; Business requirements; Senior level; AI; Business; ABAP; Communication skills; Master data management; Debugging; Juniper; Stakeholder management; Information Technology
AI/ML,"Boston, MA",Estimated: $35.5K - $70.3K a year,Law; English; Mid-level; Microsoft Office; Master's degree; Bachelor's degree; Machine learning; Computer skills; Typing; AI; Associate's degree; 2 years; Communication skills
AI/ML,"San Jose, CA","$145,000 - $250,000 a year",AI models; TensorFlow; Law; Doctoral degree; Computer Science; PyTorch; Research; Master's degree; C++; Bachelor's degree; Machine learning; Doctor of Philosophy; Distributed systems; Deep learning; Natural language processing; Distributed computing; Senior level; AI; 2 years; Python
AI/ML,Remote,Estimated: $182K - $254K a year,Data governance; 8 years; Bachelor's degree; Data management; Senior level; AI
AI/ML,"Chicago, IL","$65,000 - $84,000 a year",Power BI; Data center experience; Software troubleshooting; Data analysis skills; Mid-level; SQL; ETL; AI; Data warehouse; Python
AI/ML,"Los Angeles, CA",From $40 an hour,Writing skills; C#; English; Mid-level; SQL; C++; Bachelor's degree; JavaScript; Swift; AI; Grammar Experience; Python; HTML
AI/ML,Massachusetts,$30 an hour,TensorFlow; PyTorch; Software deployment; NumPy; Git; Google Cloud Platform; Master's degree; SQL; Pandas; AWS; DICOM; Deep learning; Model training; Machine learning libraries; AI; Communication skills; Python; Entry level; Data Science; Analytics
AI/ML,"New York, NY","$116,100 - $224,500 a year",Web accessibility; Enterprise software; Bachelor of Science; 3 years; Bachelor's degree; Usability; WCAG; Senior level; SaaS; AI; Figma; Communication skills; Marketing
AI/ML,United States,$24.44 - $29.43 an hour,Influencer partnerships campaigns; Social media management; Mid-level; Social media strategy; Content creation; AI; Artist Collaboration; Video editing
AI/ML,"Nashville, TN",Estimated: $138K - $173K a year,AI chatbots; Data modeling; Law; Doctoral degree; Hypothesis testing; Customer service; Spark; UNIX; Apache Hive; Master's degree; Algorithms; Machine learning; Doctor of Philosophy; Mentoring; Natural language processing; Linux; Quantitative analysis; Senior level; AI; Leadership; 2 years; Python; Shell Scripting; Generative AI; Hadoop
AI/ML,"Irvine, CA","$139,100 - $278,300 a year",Mechanical engineering; Fabrication; MATLAB; Doctoral degree; Engineering; Master's degree; Machine learning; Doctor of Philosophy; Mentoring; Physics; Scripting; Data analytics; Senior level; AI; Semiconductor experience; Communication skills; Python
AI/ML,"East Windsor, NJ",Estimated: $109K - $134K a year,CGMP; 6 years; Engineering; Quality management; GMP; Supervising experience; Bachelor's degree; Continuous improvement; Manufacturing; Senior level; AI; Leadership; Lean manufacturing; FDA regulations
AI/ML,"Hoover, AL","$101,821.50 - $143,090.00 a year",TensorFlow; MATLAB; Data mining; Business intelligence; Doctoral degree; PyTorch; SAS; Relational databases; Big data; Spark; R; Apache Hive; Tableau; Java; Master's degree; Databases; Algorithms; SQL; Bachelor's degree; Machine learning; Doctor of Philosophy; Scala; Ruby; Software development; Agile; Predictive analytics; IT; Financial services; Kafka; Keras; Data visualization; Senior level; AI; Google Analytics; 2 years; Communication skills; Banking; Python; Hadoop
AI/ML,United States,Estimated: $150K - $209K a year,TensorFlow; CI/CD; PyTorch; Google Cloud Platform; AWS; Machine learning; Senior level; AI; Machine learning frameworks; Leadership; Communication skills; Python; MLOps
AI/ML,"Indianapolis, IN",Estimated: $50.6K - $63.5K a year,Spanish; Computer science; Cloud infrastructure; Azure; Computer Science; Software deployment; DevOps; C#; Process improvement; English; Mid-level; Technical support; Analysis skills; C; Bachelor's degree; Machine learning; Scripting; Cloud computing; IT; Computer skills; AI; Machine learning frameworks; Communication skills; Python; PowerShell
AI/ML,"San Francisco, CA","$162,000 - $301,200 a year",Doctoral degree; Master's degree; Machine learning; Doctor of Philosophy; Senior level; AI; Machine learning frameworks; Communication skills
AI/ML,"Santa Clara, CA","$160,500 - $240,700 a year",GPU programming; Computer science; Doctoral degree; Computer Science; Applied Mathematics; PyTorch; Information Systems; Master's degree; Bachelor's degree; Machine learning; Doctor of Philosophy; APIs; Senior level; Electrical Engineering; 2 years; Communication skills
AI/ML,Alabama,Estimated: $74.6K - $162K a year,TensorFlow; Doctoral degree; PyTorch; Computer vision; System design; English; Research; Machine learning; Doctor of Philosophy; Keras; Senior level; AI; 10 years
AI/ML,Remote,"$140,000 - $170,000 a year",TensorFlow; CI/CD; 7 years; Azure; Doctoral degree; FedRAMP; Medicare; Computer Science; PyTorch; Google Cloud Platform; 3 years; Master's degree; AWS; C; Bachelor's degree; Machine learning; Doctor of Philosophy; NIST standards; JavaScript; Next.js; Natural language processing; Agile; Model training; Machine learning libraries; Cybersecurity; Senior level; AI; RMF; Leadership; Communication skills; Python; MLOps; Data Science
AI/ML,Remote,$15 - $16 an hour,AP style; Google Suite; WordPress; Writing skills; Content management systems; Analysis skills; Content creation; Bachelor's degree; SEO; Organizational skills; 1 year; AI; Communication skills; Entry level; Time management
AI/ML,"San Francisco, CA","$192,000 - $224,000 a year",7 years; Contracts; Budgeting; Contract negotiation; Senior level; AI; Negotiation; Hotel experience
AI/ML,"Westerville, OH",Estimated: $80.3K - $103K a year,Data center experience; Data mining; Bachelor of Electrical Engineering; Customer service; 5 years; Writing skills; Data analysis skills; Mathematics; Microsoft Office; Master's degree; Algorithms; Analysis skills; Bachelor's degree; Senior level; Electrical Engineering; Communication skills; Time management
AI/ML,"Newport News, VA",Estimated: $68.4K - $94.9K a year,Doctoral degree; Engineering; Master's degree; Bachelor's degree; Machine learning; Doctor of Philosophy; Technical writing; Senior level; Communication skills; Under 1 year
AI/ML,"Newport News, VA",Estimated: $44.9K - $59.1K a year,Microsoft Powerpoint; Microsoft Excel; 6 years; English; Working with high schoolers; Administrative experience; High school diploma or GED; Machine learning; Organizational skills; Senior level; Grammar Experience; Travel planning
AI/ML,"Boston, MA",Estimated: $47.7K - $91.1K a year,French; English; Microsoft Office; Analysis skills; Machine learning; AI; Entry level
AI/ML,"Palo Alto, CA","$161,250 - $268,000 a year",TensorFlow; 7 years; Doctoral degree; Computer Science; PyTorch; Research; Master's degree; Algorithms; Machine learning; Doctor of Philosophy; Deep learning; Natural language processing; Senior level; AI; Communication skills
AI/ML,"San Jose, CA","$201,100 - $429,100 a year",Adobe Photoshop; Data mining; Law; Adobe Illustrator; Senior level; AI; Leadership; Generative AI
AI/ML,"Cupertino, CA","$143,100 - $264,200 a year",TensorFlow; Reinforcement learning; Doctoral degree; PyTorch; Bachelor of Science; Data structures; 3 years; Master's degree; Algorithms; Verilog; Math; Bachelor's degree; Machine learning; Doctor of Philosophy; Deep learning; SystemVerilog; Senior level; AI; Communication skills; Generative AI
AI/ML,Remote,$35 an hour,Doctoral degree; Mid-level; 3 years; Master's degree; Analysis skills; Online school; AI; Assistive technologies; Leadership; Communication skills; Teaching; Early Childhood Education
AI/ML,"San Diego, CA","$136,000 - $223,400 a year",Research; Java; Master's degree; Algorithms; C++; Machine learning; Qualitative research interviewing; Algorithm design; Mentoring; 1 year; Senior level; AI; Python; Generative AI
AI/ML,"Cupertino, CA","$143,100 - $264,200 a year",TensorFlow; Management; PyTorch; Software deployment; Data analysis skills; Analysis skills; Machine learning; Model deployment; Deep learning; Model training; Senior level; AI; Model evaluation; Python; Debugging
AI/ML,Remote,"$70,000 - $92,000 a year",Salesforce Marketing Cloud; CSS; Mid-level; Digital marketing; Scripting; Marketing automation; AI; Marketing; HTML
AI/ML,"Spring, TX","$118,050 - $181,800 a year",Statistics; Power BI; 7 years; Microsoft Excel; Doctoral degree; Master's degree; SQL; Machine learning; Doctor of Philosophy; Product management; Supply chain management; Forecasting; GitHub; Data science; Data visualization; Senior level; AI; Master of Business Administration; Leadership; Python
AI/ML,"Arlington, VA",Estimated: $78K - $169K a year,CRM software; Computer science; Sales; 5 years; Salesforce; DevOps; Business development; AWS; Bachelor's degree; Senior level; AI; Technology sales
AI/ML,Remote,"$147,000 - $245,000 a year",Data structures; NetSuite; Algorithms; B2B; Senior level; SaaS; AI; TypeScript; Communication skills; Python; Analytics
AI/ML,Remote,"$153,700 - $226,000 a year",TensorFlow; PyTorch; Merchandising; Algorithms; C; Machine learning; Data science; Senior level; Machine learning frameworks; Python; Under 1 year
AI/ML,Remote,"$126,700 - $235,300 a year",Jira; Computer science; Azure; Computer Science; Computer vision; 5 years; Git; Master's degree; SQL; AWS; Analysis skills; Docker; Machine learning; Alignment; Scrum; Data pipelines; GitHub; Agile; Data science; Senior level; AI; Leadership; Communication skills; Data manipulation; Python; Debugging; Data Science
AI/ML,Remote,"$80,000 - $130,000 a year",Valuation; Mid-level; AI; Leadership
AI/ML,"Plano, TX","$85,200 - $142,650 a year",Microsoft Powerpoint; Network administration; Microsoft Excel; Visio; Mid-level; Microsoft Office; 3 years; Firewall; Programmable logic controllers; NIST standards; IDS; IT; Distributed control systems; Manufacturing; Cybersecurity; AI; Leadership; Communication skills
AI/ML,"Lubbock, TX","$4,000 - $10,000 a month",Mid-level; AI
AI/ML,"Austin, TX","$193,700 - $281,100 a year",CI/CD; Medicine; Rust; Go; Doctoral degree; Sales; Quantization; Java; Master's degree; Bachelor's degree; Machine learning; Doctor of Philosophy; Deep learning; Redis; REST; Training & development; 9 years; Senior level; AI; gRPC; Master of Business Administration; Python; MLOps
AI/ML,"San Francisco, CA","$171,275 - $231,725 a year",AI models; Data ethics; Data privacy management; Law; Data privacy compliance management; Risk-based compliance; Regulatory compliance; Encryption; 11+ years; Data governance; Information security; Master's degree; Analysis skills; Data privacy policy implementation; Project management; Bachelor's degree; Machine learning; Data management; Risk management; ISO 27002; ISO 27001; Risk assessment; Business Administration; 9 years; Senior level; AI; 2 years; Communication skills; 10 years
AI/ML,"Sunnyvale, CA",N/A,Computer science; Data center experience; Doctoral degree; Computer Science; System architecture; Data analysis skills; Analysis skills; Bachelor's degree; Doctor of Philosophy; Computer networking; Senior level; Electrical Engineering; AI; Leadership; 10 years
AI/ML,"Seattle, WA","$146,625 - $241,950 a year",7 years; Sales; Mid-level; Product management; ServiceNow; AI; Communication skills; Banking; Pre-sales
AI/ML,"Virginia Beach, VA","$85,000 - $95,000 a year",Microsoft Powerpoint; Microsoft Word; Federal Acquisition Regulations; Microsoft Excel; Writing skills; Microsoft Office; 3 years; Proposal writing; Bachelor's degree; Confluence; NIST standards; Contracts; SharePoint; Technical writing; APIs; Communications; English; Proofreading; Cybersecurity; Senior level; AI; Research & development; Communication skills; Editing
AI/ML,"Chicago, IL","$131,200 - $218,700 a year",Doctoral degree; Applied Mathematics; PyTorch; 3 years; Master's degree; Machine learning; Doctor of Philosophy; Deep learning; Software development; Keras; Senior level; AI; Leadership; Python; Generative AI
AI/ML,"Laurel, MD","$105,080 - $178,920 a year",TensorFlow; Computer science; Power BI; Azure; Data mining; Business intelligence; Computer Science; SAS; Relational databases; 5 years; Spark; NumPy; R; Microsoft SQL Server; Mid-level; Algorithms; High school diploma or GED; SQL; Pandas; Statistical analysis; AWS; Bachelor's degree; Machine learning; XGBoost; Feature extraction; Regression analysis; Data science; Machine learning libraries; AI; SPSS; Machine learning frameworks; Communication skills; Data manipulation; Python; Data Science
AI/ML,"Framingham, MA",Estimated: $167K - $247K a year,Management; Doctoral degree; Relational databases; 5 years; Big data; R; Computational Biology; Algorithms; Project management; Machine learning; Doctor of Philosophy; Clinical trials; Linux; Senior level; AI; Communication skills; Python
AI/ML,"Boston, MA",Estimated: $90.4K - $120K a year,Benefits administration; Public Relations; 7 years; Sales; Microsoft Office; Project management; Bachelor's degree; Client services; Communications; Financial services; Senior level; AI; Communication skills
AI/ML,"Huntsville, AL",Estimated: $105K - $176K a year,Power BI; Cloud infrastructure; Azure; Cloud architecture; Business intelligence; Big data; R; Microsoft SQL Server; Secret Clearance; Google Cloud Platform; Tableau; 8 years; SQL; AWS; Bachelor's degree; Machine learning; Data management; JavaScript; Software development; APIs; Data science; Data visualization; Business requirements; Senior level; AI; TypeScript; Python; SDLC
AI/ML,"Portland, OR","$3,705 - $5,066 a month",Medicine; Research; Mid-level; Administrative experience; Analysis skills; AI; Associate's degree; Communication skills; Under 1 year; Workday; Time management
AI/ML,"San Diego, CA","$128,000 - $256,000 a year",TensorFlow; Azure; Doctoral degree; Computer Science; PyTorch; .NET Core; Data structures; NoSQL; Google Cloud Platform; Java; Master's degree; Databases; Algorithms; SQL; AWS; Analysis skills; Bachelor's degree; Machine learning; Doctor of Philosophy; Master of Science; SciPy; Systems engineering; Natural language processing; APIs; Cloud computing; 1 year; Keras; Senior level; AI; Machine learning frameworks; Communication skills; Python; spaCy; Generative AI
AI/ML,Remote,Estimated: $164K - $214K a year,11+ years; Project management; Senior level; AI; Leadership; Communication skills
AI/ML,"Universal City, CA","$110,000 - $140,000 a year",Jira; Management; Spark; Microsoft Office; Adobe Creative Suite; 3 years; Project management; Relationship management; Unity; Senior level; AI; Leadership; Communication skills
AI/ML,Minnesota,"$75,000 - $90,000 a year",Microsoft Excel; SAS; R; Mid-level; Tableau; SQL; Presentation skills; Machine learning; Data analytics; Data science; 1 year; Data visualization; AI; Python; Strategic planning
AI/ML,American Samoa,$30 - $50 an hour,Law; English; Mid-level; Bachelor's degree
AI/ML,"Springfield, MA",$30 - $40 an hour,AI models; Doctoral degree; 5 years; Writing skills; English; Master's degree; Bachelor's degree; Machine learning; Doctor of Philosophy; Senior level
AI/ML,Remote,"Up to $1,000,000 a year",TensorFlow; Reinforcement learning; PyTorch; Software deployment; Research; C++; Machine learning; Distributed systems; Distributed computing; Senior level; AI; Python
AI/ML,Washington State,"$100,000 - $150,000 a year",6 years; Data mining; 11+ years; Bachelor's degree; Machine learning; Data analytics; Data science; Data visualization; 9 years; Senior level; AI; Generative AI; 10 years
AI/ML,"Columbia, MD",N/A,Bachelor's degree; Senior level; AI; Associate's degree; 2 years
AI/ML,United States,"$120,000 - $235,900 a year",6 years; Sales; Spark; Senior level; AI; Communication skills; Pre-sales
AI/ML,"Bloomington, MN","$56,720 - $85,080 a year",Power BI; Microsoft Excel; Sales; R; Data analysis skills; Mid-level; Tableau; Financial analysis; Master's degree; SQL; Database management; Project management; Bachelor's degree; Machine learning; Data management; ETL; Predictive analytics; Data science; 1 year; Data visualization; AI; Business; Leadership; Data warehouse; Python; Analytics
AI/ML,"New York, NY","$170,000 - $220,000 a year",TensorFlow; Reinforcement learning; Doctoral degree; PyTorch; 5 years; Spark; Java; SQL; Machine learning; Doctor of Philosophy; Feature extraction; Deep learning; Senior level; AI; Leadership; Python; Generative AI; Hadoop
AI/ML,Remote,From $40 an hour,Bilingual; Doctoral degree; Mid-level; Master's degree; Doctor of Philosophy; Chemistry; AI
AI/ML,Remote,Estimated: $99.4K - $123K a year,TensorFlow; PyTorch; Data analysis skills; Mid-level; E-commerce; Algorithms; Machine learning; Model deployment; AI; Communication skills; Python
AI/ML,"Stockton, CA",From $40 an hour,Statistics; Doctoral degree; Calculus; English; Master's degree; Doctor of Philosophy; Algebra; Senior level; AI
AI/ML,Remote,$25 - $30 an hour,Curriculum development; Writing skills; Mid-level; Master's degree; Analysis skills; Contracts; Lesson planning; Business Administration; Case studies; AI; Editing; Generative AI
AI/ML,N/A,N/A,N/A
