Job Name,Location,Salary,Qualifications
Junior Software Engineer,"Township of Jackson, NJ","$42,000 - $55,000 a year",Jira; Computer Science; CSS; iOS development; RESTful API; C#; No experience needed; English; .NET; Java; SQL; OOP; Analysis skills; Bachelor's degree; Confluence; JavaScript; Algorithm design; REST; Unity; Mac OS; Agile; 1 year; Swift; Communication skills; Entry level; HTML
Sr. Software Engineer (Oracle EBS-Supply Chain),"Camden, NJ","$82,900 - $118,400 a year",Computer science; Pricing; Oracle; Computer Science; Order management system; XML; Bachelor of Science; ERP systems; UNIX; Warehouse management system; Oracle EBS; Java; 8 years; SQL; Analysis skills; Bachelor's degree; Software development; IT; JSON; Service-oriented architecture; Business requirements; Senior level; PL/SQL; Communication skills; Analytics; SDLC
Software Quality Engineer,Remote,$51.67 - $56.67 an hour,Biotechnology; GAMP; 5 years; GMP; ISO 9001; Microsoft Office; Analysis skills; Project management; Bachelor's degree; Research data collection; Materials handling; Senior level; Communication skills; ISO 13485; FDA regulations; Time management
Software Engineer in Test,Remote,"$90,000 - $140,000 a year",CI/CD; DevOps; Mid-level; 3 years; SQL; Ruby on Rails; PostgreSQL; Ruby; APIs; Communication skills; Python
Systems Software Engineer,"Aguadilla, PR",Estimated: $62.8K - $140K a year,SAFe; TCP; Computer Science; Software Engineering; IIS; DevOps; C#; System design; Microsoft SQL Server; English; Information Systems; Mid-level; Windows; .NET; Master's degree; SQL; OOP; Analysis skills; Bachelor's degree; Distributed systems; Continuous integration; Perl; REST; UX; Scrum; GitHub; APIs; Agile; Design thinking; Linux; HTTPS; Distributed computing; Cybersecurity; Jenkins; Communication skills; Python; PowerShell; Debugging; HTML; Under 1 year
.NET Developer,"Teaneck, NJ","$80,000 - $110,000 a year",Microsoft Windows Server; Computer science; Computer Science; Software troubleshooting; XML; IIS; Visual Basic; DevOps; Visual Studio; C#; iOS; Microsoft SQL Server; Mid-level; Windows; .NET; MRP; Application development; SOAP; Bachelor's degree; REST; JSON; XSLT; 2 years
Software Engineer (Aircraft Systems) - TRU Simulation,"Lutz, FL",Estimated: $65.3K - $99.3K a year,Computer science; Software troubleshooting; UNIX; Mid-level; Analysis skills; C; Bachelor's degree; Software development; Software testing; Linux; 2 years; Communication skills; Python; Debugging
Software Engineer II,"New York, NY","$99,400 - $184,600 a year",CI/CD; CSS; Full-stack development; DevOps; Jest; Mid-level; Responsive web design; JavaScript; SDKs; APIs; Front-end development; A/B testing; Unit testing; HTML; Design patterns
Software Engineer I - Integrations,"Boston, MA",Estimated: $72K - $93.1K a year,Go; Computer Science; Software Engineering; Kubernetes; RESTful API; NoSQL; Google Cloud Platform; Java; Databases; SQL; AWS; Docker; Bachelor's degree; JavaScript; Software development; APIs; Communication skills; Python; Entry level; Debugging; Under 1 year
"AWS Software Engineer III, Java/Spring","Wilmington, DE",N/A,CI/CD; Oracle; Cloud architecture; Software troubleshooting; System design; 3 years; Java; Application development; AWS; PostgreSQL; Agile; S3; Senior level; AWS Certified Solutions Architect; Spring; Debugging; SDLC
Software Engineer II - (E2),"Salt Lake City, UT","$108,000 - $148,500 a year",Jira; CI/CD; MVC; CSS; RESTful API; Software deployment; Bachelor of Science; Visual Studio; Git; Mid-level; 3 years; Master's degree; Application development; C++; Docker; Bachelor's degree; Confluence; JavaScript; SASS; REST; Angular; Software development; UI; Unit testing; TypeScript; HTML; Information Technology
Entry Level Software Engineer,"Houston, TX","From $77,000 a year",CSS; XML; Visual Basic; Bachelor of Science; Data structures; C#; Windows; Microsoft Office; .NET; Java; Database design; C++; C; Bachelor's degree; JavaScript; Agile; Integration testing; 1 year; Python; jQuery; Entry level; HTML; Under 1 year
Sr. Azure Middleware Developer - Software Engineer,"Camden, NJ","$82,900 - $130,000 a year",CI/CD; Azure; Software troubleshooting; RESTful API; Bachelor of Science; DevOps; C#; Encryption; Git; .NET; Java; SOAP; Analysis skills; Bachelor's degree; JavaScript; APIs; Middleware; Senior level; 4 years; Jenkins; Python; Office experience
Software Development Engineer (SDE),"Seattle, WA","$125,000 - $140,000 a year",Computer science; Azure; Management; Computer Science; CSS; RESTful API; Enterprise software; C#; Microsoft SQL Server; Git; Google Cloud Platform; Mid-level; .NET; 3 years; Snowflake; Database design; AWS; Bachelor's degree; JavaScript; REST; Angular; TypeScript; HTML
"Back Engineer, Scala - Associate / Assistant","New York, NY","$120,000 - $160,000 a year",Node.js; Software Engineering; NoSQL; Mid-level; 3 years; Java; Application development; Scala; Ruby; Software development; APIs; Communication skills; Python; Akka; SDLC
Staff DevOps Engineer (PGS Space),"Redondo Beach, CA","$171,000 - $256,400 a year",Jira; CI/CD; Doctoral degree; Kubernetes; Ansible; TS/SCI; DevOps; AWS Certification; Git; Master's degree; Microservices; Docker; Bachelor's degree; Doctor of Philosophy; Terraform; Technical writing; APIs; Agile; Linux; Senior level; CompTIA Security+; ASP; Jenkins
Product Owner - Device Firmware,"Duluth, GA",Estimated: $79.5K - $106K a year,Computer science; Bachelor of Science; Firmware; Mid-level; Bachelor's degree; Product development; Computer Engineering; Agile; Electrical Engineering; 4 years; Marketing
"Software Integration Engineer, Electronic Devices","Palo Alto, CA","$111,200 - $246,720 a year",CI/CD; Computer science; Rust; Go; Computer Science; Software troubleshooting; Software deployment; Mid-level; Java; C++; C; Bachelor's degree; Computer networking; Electrical Engineering; Debugging
2U Junior Full Stack Engineer (React/Node),"Kansas City, MO",Estimated: $70.9K - $97.7K a year,CI/CD; Authentication; Azure; Node.js; Computer Science; React; Kubernetes; RESTful API; Full-stack development; NoSQL; Employee orientation; Git; Google Cloud Platform; Databases; Microservices; SQL; AWS; Analysis skills; Docker; Bachelor's degree; JavaScript; Angular; Agile; Front-end development; Integration testing; Communication skills; Entry level; Design patterns
Mobile Software Engineer - AI Trainer,Remote,From $40 an hour,Writing skills; C#; English; Mid-level; SQL; C++; Bachelor's degree; JavaScript; Swift; AI; Grammar Experience; Python; HTML
Software Engineer,"California City, CA","$84,069.98 - $101,245.57 a year",Node.js; Computer Science; CSS; Software troubleshooting; React; Mobile applications; Software implementation; System design; NoSQL; Git; Mid-level; Java; Master's degree; Application development; SQL; Analysis skills; C++; Bachelor's degree; Machine learning; JavaScript; JSP; Django; Ruby; Software development; Agile; Cloud computing; Unit testing; 1 year; AI; 2 years; Communication skills; Python; Spring; HTML; Under 1 year
Software Engineer (Simulator Systems) - TRU Simulation,"Lutz, FL",Estimated: $70.4K - $110K a year,Computer science; Software Engineering; Software troubleshooting; UNIX; Mid-level; Analysis skills; Bachelor's degree; Network protocols; Computer networking; Software development; APIs; Software testing; Linux; 2 years; Communication skills; Debugging
Senior Software Engineer,"Greenville, TX","$180,000 - $220,000 a year",Top Secret Clearance; 7 years; 6 years; Full-stack development; 5 years; C#; 11+ years; .NET; 3 years; 8 years; Bootcamp; Bachelor's degree; JavaScript; Software development; Web services; TS/SCI with Polygraph; 9 years; Senior level; 4 years; TypeScript; 10 years
Software Engineer,"Irvine, CA","$120,000 - $135,000 a year",Azure; React; RESTful API; Relational databases; Microsoft SQL Server; Git; Mid-level; Databases; SQL; AWS; Docker; APIs; Vue.js; Flask; Python; Debugging; MySQL
Backend Engineer,"San Francisco, CA",Estimated: $105K - $141K a year,Spring Boot; Computer science; Cloud infrastructure; Azure; Go; Computer Science; Encryption; NoSQL; Google Cloud Platform; Mid-level; Java; Microservices; AWS; Express.js; Bachelor's degree; JavaScript; Distributed systems; REST; Django; Ruby; APIs; GraphQL; Communication skills; Python; Spring; High availability
Software Engineer,"Schaumburg, IL","$90,000 - $120,000 a year",Operating systems; Medicare; Computer Science; Relational databases; .NET Core; NoSQL; Mid-level; Databases; Bachelor's degree; JavaScript; Organizational skills; APIs; IT; Vue.js; Leadership; 2 years; Communication skills; Time management
Senior Bioinformatics Software Engineer,"Palo Alto, CA","$136,000 - $183,600 a year",Computer science; Cloud architecture; Computer Science; CSS; React; Kubernetes; Relational databases; 5 years; Bachelor of Science; Test automation; Application development; OOP; AWS; Docker; Bachelor's degree; JavaScript; PostgreSQL; Continuous integration; REST; Redux; Django; Scrum; Software development; Agile; Web services; Senior level; Python; HTML; SDLC; Design patterns
React Engineer,"San Francisco, CA",Estimated: $105K - $138K a year,Web accessibility; CI/CD; Computer science; Computer Science; CSS; React; Jest; Git; Mid-level; Responsive web design; 3 years; Bachelor's degree; JavaScript; ECMAScript; REST; Angular; WCAG; APIs; Front-end development; GraphQL; Vue.js; HTML
AWS Software Engineer III-Full Stack Java React,"Wilmington, DE",N/A,CI/CD; Oracle; Software troubleshooting; React; Full-stack development; System design; 3 years; Java; Application development; Databases; SQL; AWS; Machine learning; Agile; Senior level; AI; Communication skills; Debugging; MySQL; SDLC
Software Engineer/Principal Software Engineer - MASC-F,"Huntsville, AL","$85,400 - $158,000 a year",Jira; CI/CD; Top Secret Clearance; SAFe; TCP; Doctoral degree; Configuration management; Git; Java; Master's degree; C++; Bachelor's degree; Doctor of Philosophy; Computer networking; Scrum; Agile; Linux; TCP/IP; Senior level; RHEL; GitLab; Sensors
Sr Principal Engineer Software (DevSecOps),"San Diego, CA","$137,400 - $206,000 a year",Jira; Top Secret Clearance; Crystal Reports; Power BI; Doctoral degree; Bamboo; Kubernetes; Kanban; Military; Software deployment; Bachelor of Science; C#; AWS Certification; Alteryx; Special Access Program; Secret Clearance; Git; Tableau; Java; Master's degree; OOP; AWS; Analysis skills; C++; Bachelor's degree; SVN; Doctor of Philosophy; JavaScript; Continuous integration; Scrum; Talend; Software development; GitHub; Agile; VMWare; Swift; Senior level; 4 years; RMF; Jenkins; GitLab; Python; SDLC
Software Engineer,"Carmel, IN",Estimated: $65.1K - $85.2K a year,CI/CD; Pegasystems; Computer science; MVC; Management; Node.js; Computer Science; React; Customer service; Relational databases; DevOps; .NET Core; C#; NoSQL; Google Cloud Platform; Mid-level; Application development; Databases; High school diploma or GED; SOAP; SQL; Database design; AWS; Bachelor's degree; JavaScript; REST; Angular; Agile; Vue.js; 2 years; Communication skills; SDLC
Software Quality Engineer,"Vancouver, WA",Estimated: $91.4K - $131K a year,Jira; CI/CD; Computer science; Computer Science; Software Engineering; Mid-level; Quality assurance; Software quality assurance; Bachelor's degree; APIs; Software testing; Agile; Jenkins; Communication skills
Software Programmer,"Auburn Hills, MI",Estimated: $89.7K - $113K a year,ASP.NET; Azure; MVC; CSS; Software troubleshooting; React; Relational databases; C#; System design; Microsoft SQL Server; Mid-level; .NET; SQL; Bachelor's degree; JavaScript; Angular; APIs; HTML; SDLC; Design patterns
Principal Software Engineer – Algorithm SW Engineer (25-066),"Huntsville, AL","$105,400 - $158,000 a year",Certified Information Systems Auditor; MATLAB; Management; Gradle; Software Engineering; Military; CCNA; CISSP; UNIX; CompTIA CySA+; Git; Java; Master's degree; Application development; Algorithms; Bachelor's degree; Software development; Software testing; Agile; CCNA Security; Linux; Eclipse; Integration testing; IAT; Senior level; Maven; CompTIA Security+; IAT Level II; CND; GitLab; Communication skills
Principal Software Engineer - DevOps & Cloud Infrastructure (Melbourne FL),"Melbourne, FL","$95,300 - $142,900 a year",CI/CD; Crystal Reports; Power BI; Cloud infrastructure; Doctoral degree; Software Engineering; Kubernetes; DevOps; C#; Software implementation; Alteryx; DoD experience; Tableau; Java; Master's degree; Microservices; OOP; AWS; C++; Docker; C; Bachelor's degree; Doctor of Philosophy; Terraform; Talend; GitHub; Red Hat OpenShift; Agile; VMWare; Senior level; CompTIA Security+; RMF; AWS Certified Cloud Practitioner – Foundational; Jenkins; GitLab; Communication skills; Python; Active Directory; Time management; SDLC; Design patterns
"Software Engineer III, Verily Me","Boston, MA","$125,000 - $178,000 a year",Computer science; Azure; Computer Science; React; Full-stack development; Bachelor of Science; Google Cloud Platform; SQL; AWS; Docker; Bachelor's degree; Terraform; Software development; GitHub; Data science; Senior level; Electrical Engineering; 2 years; TypeScript
Engineer Software/Principal Engineer Software,"Melbourne, FL","$77,200 - $115,800 a year",CI/CD; Top Secret Clearance; MATLAB; Azure; Doctoral degree; Computer Science; Kubernetes; Military; Bachelor of Science; DevOps; C#; Git; Google Cloud Platform; Java; Master's degree; AWS; C++; Docker; Bachelor's degree; Doctor of Philosophy; Master of Science; Scripting; Ruby; APIs; Senior level; Communication skills; Python; Lua; Under 1 year; Information Technology
Software Engineer II,"O'Fallon, MO","$92,000 - $147,000 a year",Spring Boot; CI/CD; Computer science; Computer Science; React; Kubernetes; Ansible; Full-stack development; DevOps; Encryption; Test automation; Google Cloud Platform; Mid-level; Information security; Java; Microservices; RBAC; AWS; Docker; Bachelor's degree; JavaScript; Terraform; REST; Angular; GitHub; APIs; GraphQL; Vue.js; Spring; Identity & access management
NSO Software Developer,"Denver, CO",$60 - $75 an hour,Node.js; Ansible; RESTful API; XML; Big data; JBPM; Test automation; NoSQL; Git; Test-driven development; Mid-level; 3 years; Java; Databases; SOAP; SQL; OpenStack; Machine learning; BDD; JavaScript; Virtualization; REST; Computer networking; Angular; Software development; Agile; Web services; VMWare; Puppet; JSON; XSLT; Chef; AI; Jenkins; Communication skills; Python; Analytics; SDLC
Junior Software Engineer,"Chandler, AZ",Estimated: $69.7K - $89.3K a year,Computer Science; C#; Primavera; 11+ years; Responsive web design; Microsoft Office; Progressive Web Apps; Bootcamp; Bachelor's degree; Continuous improvement; Ruby on Rails; JavaScript; Continuous integration; Django; Ruby; Computer Information Systems; Agile; Communication skills; Python; Entry level; Mobile design
Senior Lead Software Engineer - React/Java/AWS,"Wilmington, DE","$171,000 - $260,000 a year",Computer science; React; 5 years; System design; MongoDB; Java; Application development; AWS; Machine learning; JavaScript; Senior level; AI; SDLC
Software Engineer,"Lone Tree, CO","$82,039 - $112,804 a year",Computer science; Rust; Computer Science; Software Engineering; Software troubleshooting; Bachelor of Science; Git; Java; OOP; Analysis skills; C++; C; Bachelor's degree; Scrum; Organizational skills; Software development; Agile; Linux; Communication skills; Python; Entry level; HTML; Under 1 year; Design patterns
Experienced Software Engineer Java / Python (Full Stack or Back End),"Wilmington, DE",N/A,CI/CD; Software troubleshooting; Full-stack development; System design; Mid-level; Java; Application development; Machine learning; Agile; AI; Python; Debugging; SDLC
Software Engineer,"Oklahoma City, OK",Estimated: $74.7K - $103K a year,CI/CD; Computer Science; CSS; Military; DevOps; C#; Mid-level; Java; Microservices; IT infrastructure; C++; C; Bachelor's degree; Physics; Computer networking; Scrum; Software development; Unity; Agile; Associate's degree; Employee evaluation; Python
Full Stack Software Engineer,"San Francisco, CA","$130,000 - $180,000 a year",TensorFlow; Node.js; Doctoral degree; Computer Science; React; PyTorch; Full-stack development; R; Data analysis skills; Git; Mid-level; Master's degree; Docker; Bachelor's degree; Machine learning; Doctor of Philosophy; JavaScript; Physics; GitHub; APIs; Agile; Machine learning libraries; Robotics; Machine learning frameworks; TypeScript; GitLab; Communication skills; Python; Bioinformatics; Data Science
Software Engineer - Autonomous Robotics,"Salt Lake City, UT",Estimated: $45.9K - $67K a year,C++; Robotics; Sensors; Python; Entry level; Under 1 year
"Software Engineer, Backend","San Mateo, CA","$85,000 - $110,000 a year",CI/CD; RDBMS; Computer science; TCP; Go; FedRAMP; Computer Science; Kubernetes; RESTful API; Bachelor of Science; Load balancing; Writing skills; DevOps; Security engineering; NoSQL; Google Cloud Platform; Microservices; Docker; Bachelor's degree; BDD; REST; Computer networking; Software development; Vulnerability management; Agile; Kafka; Unit testing; TCP/IP; Senior level; 2 years; Communication skills
Software Engineer – Cloud Platform Team,"Kirkland, WA","$98,000 - $180,000 a year",Spring Boot; CI/CD; Mandarin; Edge computing; Cloud infrastructure; Doctoral degree; Computer Science; Software troubleshooting; Internet of things; Kubernetes; RESTful API; Cloud platforms used (1-3 platforms); DevOps; Engineering; NoSQL; Google Cloud Platform; Mid-level; Cloud platforms used; Java; Master's degree; Databases; Microservices; SQL; AWS; Docker; Bachelor's degree; Data management; PostgreSQL; Distributed systems; Product management; Terraform; Deep learning; Computer Engineering; Software testing; DynamoDB; Electrical Engineering; Spring; MySQL
"Software Developer (NodeJS, React, Typescript)","Lakewood, NJ","$70,000 - $105,000 a year",CI/CD; Azure; Node.js; Software troubleshooting; React; Kubernetes; RESTful API; DevOps; Git; English; MongoDB; Mid-level; Microservices; SQL; Docker; Continuous integration; Software development; GitHub; 2 years; Jenkins; TypeScript; GitLab
Backend Developer,United States,"$90,000 - $110,000 a year",Authentication; Computer science; Node.js; Computer Science; Kubernetes; RESTful API; DevOps; NoSQL; Git; Google Cloud Platform; MongoDB; Mid-level; Java; Microservices; SQL; AWS; Database management; Docker; Bachelor's degree; PostgreSQL; Redis; RabbitMQ; APIs; GraphQL; 2 years; TypeScript; Python; MySQL
Software Engineer I (Temporary),"San Diego, CA",$41 - $46 an hour,Node.js; Computer Science; Engineering; C#; Microsoft Office; SQL; C++; C; Bachelor's degree; JavaScript; Embedded software; Software testing; Design controls; Entry level; Under 1 year
"Software Engineer 3, AI","New York, NY","$155,000 - $175,000 a year",CI/CD; Data modeling; Node.js; Customer retention; React; Mid-level; Analysis skills; JavaScript; Mentoring; Angular; Software development; Budgeting; Vue.js; AI; Leadership; TypeScript; Communication skills; Design patterns
IOS Software Development Engineer,"Cerritos, CA","$100,000 - $140,000 a year",Computer Science; iOS development; Mobile applications; Data structures; iOS; Objective-C; Git; Mid-level; Master's degree; Algorithms; SQL; C++; C; Bachelor's degree; JavaScript; Computer Engineering; Data analytics; Mac OS; Business requirements; Swift; 4 years; Communication skills; HTML
React Native Engineer,"New York, NY","$175,000 - $195,000 a year",React; iOS; Jest; Mid-level; E-commerce; 3 years; Project management; JavaScript; GitHub; Integration testing; React Native
Senior Software Engineer,"New York, NY","$138,000 - $221,000 a year",CI/CD; MVC; C#; Test-driven development; Windows; Information security; Java; AWS; BDD; JavaScript; Product demos; APIs; Vulnerability management; Linux; Service-oriented architecture; Senior level; Jenkins; Design patterns
"Engineer NV, Software","Las Vegas, NV",Estimated: $112K - $141K a year,CI/CD; Azure; ASP.NET Core; CSS; RESTful API; Full-stack development; Relational databases; 5 years; Software deployment; Bachelor of Science; DevOps; C#; Microsoft SQL Server; Git; Responsive web design; Databases; AWS; Analysis skills; Supervising experience; Docker; Bachelor's degree; JavaScript; Product management; Back-end development; Angular; Scrum; Software development; Agile; Linux; Senior level; Leadership; Bachelor of Arts; Communication skills; Entity Framework; HTML; MySQL
Software Engineer,"Berkeley, CA","$100,000 - $162,500 a year",Computer Science; Bachelor of Science; Google Cloud Platform; Master's degree; SQL; AWS; Bachelor's degree; Machine learning; Scripting; Django; GitHub; Cloud computing; Web services; Flask; Communication skills; Python; Entry level; Under 1 year; Data Science
Engineer Software,"Melbourne, FL","$75,300 - $112,900 a year",Top Secret Clearance; TCP; Doctoral degree; Software Engineering; Software troubleshooting; Configuration management; Test automation; Secret Clearance; Git; Mid-level; Windows; DoD experience; Master's degree; Bash; OOP; Firewall; C++; C; Bachelor's degree; Confluence; Doctor of Philosophy; DoD 8570; Scripting; Software development; Agile; Linux; Unit testing; TCP/IP; HTTPS; IAT; Network engineering; CompTIA Security+; IAT Level II; Communication skills; Python; Shell Scripting; Debugging; Under 1 year; SDLC; VPN
Associate / DevOps Engineer - NG Space Systems,"Redondo Beach, CA","$74,000 - $134,200 a year",Jira; CI/CD; Bamboo; Kubernetes; Ansible; DevOps; cURL; Git; Mid-level; Java; Master's degree; Bash; C++; C; Bachelor's degree; Confluence; Terraform; Perl; YAML; Scripting; Scrum; Agile; Puppet; Linux; Chef; 4 years; Jenkins; Python; Shell Scripting
Software Engineer II,"Liberty Lake, WA","$90,000 - $125,000 a year",Computer science; Computer Science; React; Visual Studio; Employment & labor law; Git; Mid-level; Java; OOP; C++; Bachelor's degree; Product management; Software development; Spring
Junior Software Engineer,"Bridgewater, NJ","$70,000 - $100,000 a year",Computer science; Computer Science; RESTful API; Full-stack development; C#; .NET; Finance; Databases; SQL; AWS; C++; C; Bachelor's degree; REST; Software development; GitHub; APIs; Agile; IT; Integration testing; Communication skills; Entry level; Debugging; Under 1 year; Information Technology
Frontend Engineer - Onboarding,"Palo Alto, CA","$150,000 - $180,000 a year",CI/CD; UI development; Node.js; CSS; React; Full-stack development; Employee orientation; Git; Mid-level; 3 years; JavaScript; GitHub; Financial services; UI; TypeScript; HTML
Associate Software Engineer (PT),"Atlanta, GA",Estimated: $38.3K - $49.4K a year,Jira; CI/CD; Computer science; Node.js; Computer Science; Engineering; Git; Databases; SQL; AWS; Docker; Bachelor's degree; JavaScript; Software development; GitHub; Cybersecurity; Leadership; TypeScript; Communication skills; Entry level
Software Engineer,"Pawtucket, RI",Estimated: $62.4K - $79.6K a year,Computer science; Cloud infrastructure; Node.js; Computer Science; React; Kubernetes; Relational databases; C#; Microsoft SQL Server; Mid-level; Databases; Docker; Bachelor's degree; JavaScript; APIs; Communication skills
Software Engineer,"San Diego, CA",$69.08 an hour,Spring Boot; CI/CD; UI development; Computer Science; Software Engineering; Kubernetes; Full-stack development; 5 years; DevOps; Java; Master's degree; Microservices; OOP; AWS; Analysis skills; Bachelor's degree; JavaScript; Distributed systems; Product management; Continuous integration; RabbitMQ; Angular; APIs; Unit testing; GraphQL; Senior level; Healthcare IT; Communication skills; Amazon EKS; Spring; Design patterns
Backend Software Engineer,"Palo Alto, CA","$115,000 - $205,000 a year",Computer science; Computer Science; Software Engineering; C#; Mid-level; Java; C++; Bachelor's degree; Software development; 1 year
"Python Training Batch (Non IT candidates may also apply, Salary will be paid from Day 1)","Charlotte, NC","$36,000 - $70,000 a year",No experience needed; Driver's License; Bachelor's degree; Software development; IT; Communication skills; Python; Entry level; Debugging; Under 1 year
Software Engineer/Software Developer,"Schaumburg, IL","$100,000 - $130,000 a year",JBoss; Spring Boot; CI/CD; Computer science; Computer Science; CSS; Software troubleshooting; Bootstrap; React; Kubernetes; Full-stack development; 5 years; Tomcat; NoSQL; GitLab CI/CD; Java; Master's degree; Databases; Microservices; SQL; AWS; Analysis skills; Database management; Docker; Bachelor's degree; JavaScript; REST; Angular; GitHub; APIs; IT; Unit testing; Service-oriented architecture; Senior level; Jenkins; TypeScript; GitLab; Spring; HTML; Information Technology
"Software Engineer II (Golang, Python, Java)","O'Fallon, MO","$92,000 - $147,000 a year",Go; Management; Ansible; DevOps; Security engineering; UNIX; Git; Mid-level; Windows; Information security; Java; PKI; Splunk; Agile; Chef; Jenkins; Python; Identity & access management; SDLC
Backend Software Engineer - Python / Django (Backstage),"New York, NY","$140,000 - $145,000 a year",Elasticsearch; React; RESTful API; Kanban; DevOps; iOS; Accounting software; Project management; JavaScript; PostgreSQL; Django; 1 year; Senior level; Communication skills; Python; Debugging; MySQL
